,Avant,Après IPW
Month_Aug,-0.025189870778429498,0.0006052730279539624
Month_Dec,-0.0771073956349066,-0.00018711117074340529
Month_Feb,-0.046421626215555935,-0.01809613184645592
Month_Jul,-0.004029314354302307,0.008990641790119248
Month_June,-0.07620440796391505,0.0016959588100768763
Month_Mar,0.019180510668403976,0.014013926597948034
Month_May,0.036810697851476795,-0.010881475676839707
Month_Nov,0.06353382025705387,-0.0025391888809350206
Month_Oct,0.021836715390323176,8.38271877684603e-05
Month_Sep,-0.03419502892608093,-0.0015111683572564354
VisitorType_New_Visitor,0.09575074865201078,0.004337991652381689
VisitorType_Other,-0.08761334838796492,-0.0027890985702214025
VisitorType_Returning_Visitor,-0.07601279058520712,-0.003581258086815039
Region_1,-0.024733374105693706,-0.0022401023015184442
Region_2,0.022529686129501174,0.0058208223053842325
Region_3,0.004881129223722209,-0.006369071181025406
Region_4,0.04317305860437169,0.001522787507308355
Region_5,-0.011401750071661866,0.009333329724716963
Region_6,0.021123442116296635,-0.002311032516065938
Region_7,-0.0074806325057939155,0.00343925450832314
Region_8,0.0031278309704191845,0.0014195553578066253
Region_9,-0.05903746410727104,-0.002774638361259433
OperatingSystems_1,0.13669842585642897,0.005125435695642503
OperatingSystems_2,-0.268115712136821,-0.0045908196749569015
OperatingSystems_3,0.1773922191979563,-6.81559171957469e-05
OperatingSystems_4,0.030595441293526218,0.0017997401301791838
OperatingSystems_5,-0.010373888282516886,0.011122365415541926
OperatingSystems_6,-0.024073634082750487,-0.024739116530558807
OperatingSystems_7,0.033495187241682156,0.03712815679125924
OperatingSystems_8,-0.050914225962901696,-0.0071035222488166055
Browser_1,0.13776110662935884,0.004846490199193306
Browser_10,-0.004144698893209349,0.0002410311801281611
Browser_11,-0.010373888282516886,0.011122365415541926
Browser_12,-0.0034815928571074726,0.002267875234889737
Browser_13,-0.10144099655604995,-0.030701281609433657
Browser_2,-0.05998422259179504,-0.0033569711819844603
Browser_3,0.03974890930318431,0.0072218924255871035
Browser_4,-0.10285566647926225,-0.0054935971038190526
Browser_5,-0.027324495217038548,0.0050465785040035935
Browser_6,-0.03519871111310892,0.001570495448881289
Browser_7,0.03578704141399795,0.006394870664891855
Browser_8,0.04817348893715308,0.005058821638865624
Browser_9,-0.015457039859974084,-0.01649319597366516
TrafficType_1,-0.07935788143977725,-0.003641390692240331
TrafficType_10,-0.009940816272790687,-0.004715683763762702
TrafficType_11,0.12451758901578922,0.0027223613070504796
TrafficType_12,-0.015457039859974082,-0.016810875549814242
TrafficType_13,-0.09632311795152279,0.0012519591761674836
TrafficType_14,0.05389644017850413,0.03979814075745915
TrafficType_15,0.061686817454705035,0.009388313351015594
TrafficType_16,-0.026775577556948465,-0.0288562956194754
TrafficType_18,0.027331018119089525,-0.0026185359641234846
TrafficType_19,0.027331018119089525,0.008311078516810852
TrafficType_2,0.06582785161637318,-0.0037446457482521547
TrafficType_20,-0.07894701356905988,-0.005657997816762332
TrafficType_3,-0.1291595923380212,-0.0023340905552516125
TrafficType_4,0.08907600704396204,-0.001410029172612291
TrafficType_5,-0.005606446705826798,0.006752925105173356
TrafficType_6,0.004798815069351054,0.000378322908649859
TrafficType_7,0.015997271472532396,0.014516232192524276
TrafficType_8,0.06261577295421623,0.001076096083465355
TrafficType_9,0.1646029710947892,0.03099720015609391
